Nutrient_Bank_Number,name,value
57206710,Vitamin_B6,1.92
54201010,Carbohydrate,83.7
54307000,Carbohydrate,83.7
57128000,Carbohydrate,83.7
57128000,Niacin,18.5
57128000,Riboflavin,1.6
57128000,Thiamin,1.4
57128000,Calcium,370
57128000,Iron,16.7
57128000,Zinc,13.9
57128000,Vitamin_B6,1.852
57316710,Carbohydrate,83.65
57316710,Sugar_Total,43.23
57316710,Iron,19.52
57241200,Carbohydrate,83.6
57241200,Fiber,10.7
57241200,Iron,28
57124100,Carbohydrate,83.5
57124100,Niacin,18.5
57124100,Riboflavin,1.6
57124100,Thiamin,1.39
57124100,Calcium,370
57124100,Iron,16.7
57124100,Zinc,13.89
57124100,Vitamin_B6,1.85
57124100,Vitamin_C,55.6
57206715,Carbohydrate,83.4
57206715,Fiber,17.9
57214000,Carbohydrate,83.4
57214000,Fiber,10.8
57214000,Iron,28
57418000,Carbohydrate,83.3
57418000,Fiber,10.1
57418000,Niacin,37
57418000,Riboflavin,3.1
57418000,Thiamin,2.8
57418000,Iron,33.3
57418000,Zinc,27.8
57418000,Vitamin_B12,11.1
57418000,Vitamin_B6,3.704
53803300,Carbohydrate,83.21
57807010,Carbohydrate,83.2
57807010,Niacin,13.33
57807010,Calcium,600
57807010,Iron,45
57807010,Magnesium,140
57807010,Vitamin_C,58.3
91726410,Carbohydrate,83.15
91726410,Sugar_Total,46.8
57805000,Carbohydrate,83.14
57805000,Niacin,23.006
57805000,Riboflavin,1.459
57805000,Calcium,860
57805000,Iron,53.01
57805000,Zinc,10.92
57303105,Carbohydrate,83
57303105,Fiber,8.3
57303105,Niacin,21.2
57303105,Retinol,860
57303105,Riboflavin,2.29
57303105,Thiamin,2.29
57303105,Calcium,455
57303105,Iron,38.2
57303105,Zinc,18.2
57303105,Vitamin_A_-_RAE,868
57303105,Vitamin_B6,2.72
57344020,Carbohydrate,83
57344020,Fiber,9.6
57344020,Niacin,23.29
57344020,Retinol,749
57344020,Riboflavin,1.98
57344020,Thiamin,1.75
57344020,Iron,27
57344020,Vitamin_A_-_RAE,749
57344020,Vitamin_B6,2.32
57344020,Vitamin_C,70
92193000,Carbohydrate,82.96
92193000,Sugar_Total,56.07
92193000,Potassium,680
91713090,Carbohydrate,82.92
91713090,Sugar_Total,81.93
57137000,Carbohydrate,82.82
57137000,Fiber,8.8
57137000,Niacin,24.25
57137000,Retinol,870
57137000,Riboflavin,2
57137000,Thiamin,1.955
57137000,Calcium,570
57137000,Iron,32
57137000,Zinc,17.42
57137000,Vitamin_A_-_RAE,879
57137000,Vitamin_B6,2.3
57303100,Carbohydrate,82.82
57303100,Fiber,8.8
57303100,Niacin,24.25
57303100,Retinol,870
57303100,Riboflavin,2
57303100,Thiamin,1.955
57303100,Calcium,570
57303100,Iron,32
57303100,Zinc,17.42
57303100,Vitamin_A_-_RAE,879
57303100,Vitamin_B6,2.3
62109100,Carbohydrate,82.8
62109100,Sugar_Total,72.56
57305600,Carbohydrate,82.77
57305600,Niacin,16.67
57305600,Riboflavin,1.41
57305600,Sugar_Total,40.91
57305600,Thiamin,1.25
57305600,Iron,30
57305600,Zinc,12.5
57305600,Vitamin_B6,1.66
91708000,Carbohydrate,82.74
91708000,Sugar_Total,80.68
54319000,Carbohydrate,82.64
54319000,Magnesium,156
57124050,Carbohydrate,82.4
57124050,Niacin,16.7
57124050,Retinol,749
57124050,Riboflavin,1.39
57124050,Thiamin,1.29
57124050,Iron,27
57124050,Zinc,12.5
57124050,Vitamin_A_-_RAE,749
57124050,Vitamin_B6,1.66
91302010,Carbohydrate,82.4
91302010,Sugar_Total,82.12
54325010,Carbohydrate,82.3
54305010,Carbohydrate,82.2
54305010,Fiber,16.5
54408100,Carbohydrate,82.2
57411000,Carbohydrate,82.2
57411000,Fiber,12.2
57411000,Iron,30.6
57411000,Zinc,11.2
91713070,Carbohydrate,82.15
91713070,Sugar_Total,79.77
91750000,Carbohydrate,82.15
91750000,Sugar_Total,55.59
57303200,Carbohydrate,82.08
57303200,Fiber,10.1
57303200,Niacin,21.524
57303200,Retinol,690
57303200,Riboflavin,1.829
57303200,Thiamin,1.61
57303200,Iron,24.86
57303200,Vitamin_B6,2.152
57303200,Vitamin_C,64.8
57305160,Carbohydrate,81.81
57305160,Fiber,10.9
57305160,Iron,29.45
57237200,Carbohydrate,81.8
57237200,Fiber,7.8
57237200,Iron,28.9
57208000,Carbohydrate,81.6
57208000,Fiber,17.3
57208000,Niacin,69
57208000,Retinol,776
57208000,Riboflavin,5.86
57208000,Thiamin,5.17
57208000,Iron,62.1
57208000,Magnesium,138
57208000,Phosphorus,517
57208000,Zinc,51.7
57208000,Vitamin_A_-_RAE,776
57208000,Vitamin_B12,21
57208000,Vitamin_B6,6.9
57208000,Vitamin_C,207
57208000,Vitamin_E,46.35
57305174,Carbohydrate,81.59
57305174,Niacin,16.67
57305174,Riboflavin,1.41
57305174,Sugar_Total,42.5
57305174,Thiamin,1.25
57305174,Iron,30
57305174,Zinc,12.5
57305174,Vitamin_B6,1.66
62120100,Carbohydrate,81.54
62120100,Sugar_Total,72.94
54318000,Carbohydrate,81.5
54318000,Magnesium,131
57308400,Carbohydrate,81.4
57308400,Fiber,8.7
57308400,Niacin,17.2
57308400,Riboflavin,1.5
57308400,Thiamin,1.29
57308400,Calcium,345
57308400,Iron,27.89
57308400,Zinc,12.89
57308400,Vitamin_B6,1.72
91723000,Carbohydrate,81.3
91723000,Sugar_Total,57.56
57207000,Carbohydrate,81.25
57207000,Fiber,14.2
57207000,Niacin,16.95
57207000,Retinol,762
57207000,Riboflavin,1.45
57207000,Thiamin,1.3
57207000,Iron,27.95
57207000,Magnesium,165
57207000,Vitamin_A_-_RAE,762
57207000,Vitamin_B6,1.7
57344005,Carbohydrate,81.2
57344005,Fiber,10.6
57344005,Niacin,22.6
57344005,Retinol,725
57344005,Riboflavin,1.92
57344005,Thiamin,1.69
57344005,Iron,26.1
57344005,Vitamin_B6,2.26
57344005,Vitamin_C,68
57344025,Carbohydrate,81.2
57344025,Fiber,10.3
57344025,Niacin,23.3
57344025,Retinol,750
57344025,Riboflavin,1.98
57344025,Thiamin,1.75
57344025,Iron,27
57344025,Vitamin_A_-_RAE,750
57344025,Vitamin_B6,2.33
57344025,Vitamin_C,70
57237100,Carbohydrate,81.19
57237100,Niacin,17.8
57237100,Retinol,803
57237100,Riboflavin,1.25
57237100,Iron,34.82
57237100,Vitamin_A_-_RAE,806
57237100,Vitamin_B12,9.67
57237100,Vitamin_B6,2.64
54318500,Carbohydrate,81.1
54318500,Magnesium,131
57124030,Carbohydrate,81.09
57124030,Niacin,14.3
57124030,Riboflavin,1.2
57124030,Iron,25.7
57124030,Zinc,10.69
57124030,Vitamin_B6,1.42
57305100,Carbohydrate,80.89
57305100,Niacin,25.3
57305100,Retinol,847
57305100,Riboflavin,1.723
57305100,Thiamin,1.737
57305100,Calcium,434
57305100,Iron,22.27
57305100,Zinc,18.62
57305100,Vitamin_A_-_RAE,847
57305100,Vitamin_B6,3.01
57316380,Carbohydrate,80.7
57316380,Niacin,18.5
57316380,Riboflavin,1.6
57316380,Thiamin,1.4
57316380,Iron,16.7
57316380,Zinc,13.9
57316380,Vitamin_B6,1.852
53226500,Carbohydrate,80.5
53226600,Carbohydrate,80.5
53234250,Carbohydrate,80.5
53714400,Carbohydrate,80.5
57106260,Carbohydrate,80.5
57106260,Niacin,18.5
57106260,Riboflavin,1.6
57106260,Thiamin,1.4
57106260,Calcium,370
57106260,Iron,16.7
57106260,Zinc,13.9
57106260,Vitamin_B6,1.852
57209000,Carbohydrate,80.5
57209000,Fiber,18.3
57209000,Niacin,16.7
57209000,Retinol,748
57209000,Riboflavin,1.4
57209000,Thiamin,1.3
57209000,Iron,28
57209000,Magnesium,229
57209000,Phosphorus,449
57209000,Vitamin_A_-_RAE,749
57209000,Vitamin_B6,1.7
57230000,Carbohydrate,80.49
57230000,Fiber,13
57230000,Iron,28
57230000,Magnesium,124
57230000,Phosphorus,467
62106000,Carbohydrate,80.45
62106000,Sugar_Total,67.15
53228000,Carbohydrate,80.44
53228000,Sugar_Total,80.35
91707010,Carbohydrate,80.4
91707010,Sugar_Total,71.42
54408000,Carbohydrate,80.39
54408000,Sodium,1240
54408015,Carbohydrate,80.39
54408015,Sodium,1240
54408016,Carbohydrate,80.39
54408016,Sodium,1240
57103000,Carbohydrate,80.3
57103000,Niacin,16.7
57103000,Retinol,739
57103000,Riboflavin,1.4
57103000,Thiamin,1.3
57103000,Iron,30
57103000,Vitamin_A_-_RAE,741
57103000,Vitamin_B6,1.7
57417000,Carbohydrate,80.18
57417000,Fiber,12.4
57417000,Magnesium,132
57417000,Phosphorus,380
54319020,Carbohydrate,80.1
54319020,Magnesium,159
54401170,Carbohydrate,80.1
54408070,Carbohydrate,80.08
54408070,Sodium,1216
54403120,Carbohydrate,80.06
54403120,Sugar_Total,45
57806050,Carbohydrate,80.06
57806050,Niacin,15
57806050,Riboflavin,1.33
57806050,Calcium,800
57806050,Iron,30
57806050,Zinc,10.67
57806050,Vitamin_B6,1.166
57806050,Vitamin_C,58.3
57332100,Carbohydrate,80
57332100,Fiber,12.2
62105000,Carbohydrate,80
62105000,Sugar_Total,67.5
57103100,Carbohydrate,79.9
57103100,Niacin,16.7
57103100,Riboflavin,1.39
57103100,Thiamin,1.29
57103100,Iron,15
57103100,Zinc,12.5
57103100,Vitamin_B6,1.66
57805100,Carbohydrate,79.9
57805100,Niacin,23.32
57805100,Riboflavin,3.8
57805100,Thiamin,3.97
57805100,Calcium,691
57805100,Iron,47.5
57805100,Magnesium,141
57805100,Phosphorus,410
57805100,Potassium,769
54408017,Carbohydrate,79.8
57213850,Carbohydrate,79.8
57213850,Niacin,18.5
57213850,Riboflavin,1.6
57213850,Thiamin,1.39
57213850,Calcium,370
57213850,Iron,16.7
57213850,Zinc,13.89
57213850,Vitamin_B6,1.85
57241000,Carbohydrate,79.69
57241000,Niacin,21.4
57241000,Retinol,834
57241000,Riboflavin,1.867
57241000,Thiamin,1.917
57241000,Calcium,425
57241000,Iron,20.58
57241000,Zinc,17.17
57241000,Vitamin_A_-_RAE,834
57241000,Vitamin_B6,2.267
57305500,Carbohydrate,79.69
57305500,Niacin,21.4
57305500,Retinol,834
57305500,Riboflavin,1.867
57305500,Thiamin,1.917
57305500,Calcium,425
57305500,Iron,20.58
57305500,Zinc,17.17
57305500,Vitamin_A_-_RAE,834
57305500,Vitamin_B6,2.267
57329000,Carbohydrate,79.64
57329000,Fiber,12
57329000,Iron,16.77
57329000,Magnesium,152
57237300,Carbohydrate,79.6
57237300,Niacin,15.6
57237300,Riboflavin,1.3
57237300,Iron,33.8
57237300,Vitamin_B6,1.6
57100100,Carbohydrate,79.47
57100100,Niacin,21.567
57100100,Retinol,799
57100100,Riboflavin,1.126
57100100,Thiamin,1.667
57100100,Iron,25.44
57100100,Zinc,11.41
57100100,Vitamin_A_-_RAE,800
57100100,Vitamin_B6,2.403
54408035,Carbohydrate,79.44
54408035,Sodium,1302
62125100,Carbohydrate,79.32
62125100,Sugar_Total,65.18
62125100,Potassium,744
54408030,Carbohydrate,79.2
53711002,Carbohydrate,79.17
53712200,Carbohydrate,79.17
54401121,Carbohydrate,79.07
54401122,Carbohydrate,79.07
53222020,Carbohydrate,79
53236000,Carbohydrate,79
57301505,Carbohydrate,79
57301505,Fiber,11.2
91304040,Carbohydrate,79
91304040,Sugar_Total,46.8
57331000,Carbohydrate,78.9
57331000,Fiber,13.7
